params,final_capital,total_return,total_return_pct,num_trades,win_rate,max_drawdown,improvement_vs_baseline,status
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",12720.762200000012,-37279.23779999999,-74.55847559999998,258,11.24031007751938,83.73803080000005,-97303.51779999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",8241.256800000001,-41758.7432,-83.5174864,284,10.211267605633804,91.16959480000003,-101783.0232,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",15992.066599999995,-34007.93340000001,-68.01586680000001,250,11.600000000000001,79.25340640000003,-94032.21340000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",16357.522700000005,-33642.4773,-67.2849546,253,11.462450592885375,83.77708380000006,-93666.7573,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",18948.132800000014,-31051.867199999986,-62.10373439999998,246,11.788617886178862,79.16413240000003,-91076.14719999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",4880.432900000009,-45119.56709999999,-90.23913419999998,294,9.523809523809524,94.30593179999998,-105143.84709999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",14773.847600000057,-35226.15239999994,-70.45230479999988,263,10.646387832699618,84.75808719999998,-95250.43239999993,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",20124.400100000028,-29875.599899999972,-59.751199799999945,248,11.29032258064516,76.52485440000004,-89899.87989999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",5113.191800000002,-44886.8082,-89.7736164,293,9.556313993174061,94.0294088,-104911.0882,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",13314.174400000044,-36685.82559999995,-73.37165119999992,264,10.606060606060606,84.28512879999998,-96710.10559999995,success
